Site,season,N,shannon.di,simpson.di,inv.simpson.di,City,Long,Lat
P-TE2,AP21,75,0.14144092415187637,0.05226666666666657,1.0551491277433875,tawa,-122.27951048782658,46.92219579840345
P-GP,OC20,79,0.1356121881286208,0.049671526998878446,1.0522677457427079,tawa,-122.45745032482698,47.269890460874926
ELMOD,OC20,34,0.13269142083987176,0.05709342560553643,1.0605504587155965,lbca,-117.79282699635732,33.79870845016335
ED05,JU21,94,0.10296666046541245,0.041647804436396596,1.043457723193198,lbca,-117.92932622641054,33.807315562752066
H01-WAV1,AP21,282,0.089070054001719,0.034832251898797795,1.036089324334888,paca,-118.31108646234128,34.24302479928483
P-TE2,OC20,144,0.04143286813734268,0.013792438271604812,1.0139853300733495,tawa,-122.27951048782658,46.92219579840345
BT,AP21,5,-0,0,1,oaca,-122.09740103019818,37.74199827050061
BT,JU21,2,-0,0,1,oaca,-122.09740103019818,37.74199827050061
CalT01,AP21,2,-0,0,1,lbca,-117.91630006668773,33.815719290585086
CB,OC20,41,-0,0,1,oaca,-122.18035727643792,37.803142529093726
DK,JU21,19,-0,0,1,oaca,-122.20900282254252,37.74296907041338
DK,OC20,22,-0,0,1,oaca,-122.20900282254252,37.74296907041338
ED01,JU21,6,-0,0,1,lbca,-117.98770203485851,33.804787626724554
ED07,AP21,1,-0,0,1,lbca,-117.8522994739004,33.813192955781574
ELMOD,JU21,22,-0,0,1,lbca,-117.79282699635732,33.79870845016335
EN,JA21,1,-0,0,1,oaca,-122.20792986879542,37.73048775392695
EN,OC20,1,-0,0,1,oaca,-122.20792986879542,37.73048775392695
H01-FIR2,AP21,1,-0,0,1,paca,-118.21556469284234,34.17285827499284
H01-FIR2,JU21,2,-0,0,1,paca,-118.21556469284234,34.17285827499284
H01-HFR1,JA21,84,-0,0,1,paca,-118.28028507983583,34.22324078580839
H01-OCC1,JU21,5,-0,0,1,paca,-118.23502371495428,34.201521140726356
H01-RHR1,JU21,2,-0,0,1,paca,-118.15865713228422,34.21804765416623
H01-RHR1,OC20,2,-0,0,1,paca,-118.15865713228422,34.21804765416623
H01-SPS1,OC20,37,-0,0,1,paca,-118.16734266948976,34.124358734572354
H01-WAV1,OC20,5,-0,0,1,paca,-118.31108646234128,34.24302479928483
HBT,AP21,1,-0,0,1,oaca,-122.1082052795166,37.72840774799266
HBT,OC20,2,-0,0,1,oaca,-122.1082052795166,37.72840774799266
IRC01,AP21,11,-0,0,1,lbca,-117.74100210763476,33.77069310192292
IRC01,JU21,9,-0,0,1,lbca,-117.74100210763476,33.77069310192292
IRC06,AP21,1,-0,0,1,lbca,-117.65291929031022,33.73468139211798
IRC07,JU21,1,-0,0,1,lbca,-117.6474829372618,33.719440685685356
P-GP,AP21,10,-0,0,1,tawa,-122.45745032482698,47.269890460874926
P-GP,JA21,11,-0,0,1,tawa,-122.45745032482698,47.269890460874926
P-WWP,JA21,1,-0,0,1,tawa,-122.27665975935894,47.17281070545192
